TAG,GLOSS,MORPHEMIC,ORTHOGRAPHIC,GITGLOSS,EXCLUDE,ERROR,NOTES
ROOT,away/off-put,saa-mak̲,saamak̲,saa-mak̲,,,
ROOT,away/off-take,saa-guu,saaguu,saa-guu,,,
ROOT,middle-day,silkw-sa,silkwsa,silkw-sa,,,
ROOT,against-find,tk̲'al-'wa,tk̲'al'wa,tk̲'al-'wa,,,
ROOT,out-unable,xsi-hlguxws,xsihlguxws,xsi-hlguxws,,,
ROOT,out-appear,ksi-hlo'o,ksihlo'o,ksi-hlo'o,,,
ROOT,out-hold,xsi-yukw,xsiyukw,xsi-yukw,,,
ROOT,out-dig,ksi-wok̲',ksiwok̲',ksi-wok̲',,,
ROOT,out-breath,ksi-naahlx̲,ksinaahlx̲,ksi-naahlx̲,,,
ROOT,blocking.way-breath,sg̲a-naahlx̲,sg̲anaahlx̲,sg̲a-naahlx̲,,,
ROOT,sharply.down-hole,t'ip-no'o,t'ipno'o,t'ip-no'o,,,
ROOT,sharply.down-fall,t'ip-gwen,t'ipgwen,t'ip-gwen,,,
ROOT,upward-move.location,min-lukw,minlukw,min-lukw,,,
ROOT,killer.whale-like,neex̲hl-ii,neex̲hlii,neex̲hl-ii,,1,
ROOT,tip-person,ts'u'win-git,ts'u'wingit,ts'u'win-git,,,
ROOT,on-put,nii-mak̲,niimak̲,nii-mak̲,,,
ROOT,away-put,x̲hlaa-mak̲,x̲hlaamak̲,x̲hlaa-mak̲,,,
ROOT,at.end-stand,x̲hlip-het,x̲hliphet,x̲hlip-het,,,
ROOT,prior-year,gi-k'uuhl,gik'uuhl,gi-k'uuhl,1,,
ROOT,in-two.HUM,luu-bag̲adil,luubag̲adil,luu-bag̲adil,,,
ROOT,river-lake,ksi-t'ax̲,ksit'ax̲,ksi-t'ax̲,,,
ROOT,firm-hold,dax̲-yukw,dax̲yukw,dax̲-yukw,,,
ROOT,on-air,lax̲-ha,lax̲ha,lax̲-ha,,,
ROOT,in-return,luu-yelt,luuyelt,luu-yelt,,,
ROOT,in-hole,luu-no'o,luuno'o,luu-no'o,,,
ROOT,watercraft-wood,sax̲s-g̲an,sax̲sg̲an,sax̲s-g̲an,,,
ROOT,against-join,tk̲'al-huks,tk̲'alhuks,tk̲'al-huks,,,
ROOT,halfway-pierce,x̲ba-gehl,x̲bagehl,x̲ba-gehl,,,
ROOT,halfway-crush,x̲ba-g̲eek̲,x̲bag̲eek̲,x̲ba-g̲eek̲,,,
ROOT,pierce-tooth,gehl-'win,gehl'win,gehl-'win,,,
ROOT,against.background-hit,naa-yets,naayets,naa-yets,,,
ROOT,surface-fathom,t'im-k̲'aax,t'imk̲'aax,t'im-k̲'aax,,,
ROOT,one-fathom,k'il-k̲'aax,k'ilk̲'aax,k'il-k̲'aax,,,
ROOT,on-rack,lax̲-sg̲ana'a,lax̲sg̲ana'a,lax̲-sg̲ana'a,,,
ROOT,on.I-rack,lax̲-sg̲ana'a,lax̲sg̲ana'a,lax̲-sg̲ana'a,,,
ROOT,on.I-air,lax̲-ha,lax̲ha,lax̲-ha,,,
